min_leaf_size,absolute_error
10,0.737142704
11,0.737142704
12,0.735825637
13,0.726204752
14,0.726204752
15,0.726299162
16,0.727201174
17,0.727201174
18,0.728489426
19,0.726127041
20,0.733401021
21,0.725158357
22,0.725158357
23,0.725038483
24,0.725038483
25,0.725038483
26,0.725038483
27,0.725038483
28,0.725038483
29,0.725045226
30,0.725045226
31,0.725045226
32,0.725045226
33,0.725045226
34,0.725045226
35,0.725045226
36,0.725045226
37,0.724886622
38,0.724886622
39,0.724886622
40,0.734960352
41,0.734960352
42,0.735693156
43,0.735693156
44,0.735693156
45,0.735214658
46,0.739139025
47,0.739139025
48,0.739139025
49,0.739139025
