min_leaf_size,mean_squared_error
10,0.707210147
11,0.703970201
12,0.699754424
13,0.698601021
14,0.695456625
15,0.695456625
16,0.687786171
17,0.686977662
18,0.686977662
19,0.685990984
20,0.685990984
21,0.6772187
22,0.6772187
23,0.676853409
24,0.676853409
25,0.672418481
26,0.672418481
27,0.671799791
28,0.671799791
29,0.671799791
30,0.671799791
31,0.671799791
32,0.682678848
33,0.682678848
34,0.682678848
35,0.681759118
36,0.681759118
37,0.679270905
38,0.680260806
39,0.680260806
40,0.680260806
41,0.68066883
42,0.68066883
43,0.68066883
44,0.689648316
45,0.689648316
46,0.689648316
47,0.689648316
48,0.687939928
49,0.687939928
